WRJ2,WRJ1,FFJ4,FFJ3,FFJ2,FFJ1,FFtip,MFJ4,MFJ3,MFJ2,MFJ1,MFtip,RFJ4,RFJ3,RFJ2,RFJ1,RFtip,LFJ5,LFJ4,LFJ3,LFJ2,LFJ1,LFtip,THJ5,THJ4,THJ3,THJ2,THJ1,thtip
0.0,0.0,0.0,0.2284548435273239,0.2140911623911331,0.20889900084969984,0.0,0.0,0.25757753551269447,0.23021925435420074,0.2249523973815182,0.0,0.0,0.24661732451995816,0.22890655321194664,0.22992723822554917,0.0,0.17267247091159202,0.0,0.2186275372091893,0.22090384851185668,0.22222395427044514,0.0,0.18962820840818073,0.1936882060304818,0.0,0.08569817483205751,0.153047952372459,0.0
0.0,0.0,0.0,0.3480587546917201,0.3107445987958037,0.29795384085833293,0.0,0.0,0.3933479316122841,0.34077525839129313,0.32892729091084955,0.0,0.0,0.35173670648085564,0.31538326745570155,0.314016096696142,0.0,0.24250569580249726,0.0,0.2853841527152838,0.2904334194335255,0.2954689440309701,0.0,0.2682062770681722,0.26550600061305163,0.0,0.13157603930340506,0.19686179347912564,0.0
0.0,0.0,0.0,0.322280861734472,0.287449688463514,0.2768062377715577,0.0,0.0,0.3669605641325719,0.3182659535555148,0.30816448374470284,0.0,0.0,0.33444328370571574,0.30585547641201255,0.30848950795885804,0.0,0.23107269991247456,0.0,0.27952402658432834,0.28953985242796143,0.29562233595523035,0.0,0.2488584557704341,0.24675266087190037,0.0,0.12731374329392614,0.21019619124684,0.0
0.0,0.0,0.0,0.31101741890080653,0.2776215888704772,0.26822504507649536,0.0,0.0,0.3552788792517322,0.3088030487921306,0.3000245668551471,0.0,0.0,0.3268061970221469,0.30196502145057663,0.3065836738261548,0.0,0.22581723638724752,0.0,0.2773402755024471,0.2896433707316201,0.2961988282802186,0.0,0.2397905366100861,0.23805375062448056,0.0,0.12695895383306988,0.2176709663198032,0.0
0.0,0.0,0.0,0.2742738261993028,0.2465296791062012,0.24077827286195577,0.0,0.0,0.32284533575112817,0.2819815518724836,0.27672039564991885,0.0,0.0,0.30142020605405656,0.2854523280609243,0.2950474019024478,0.0,0.19957442447747809,0.0,0.26783479819876826,0.2854763048802673,0.29240030152620194,0.0,0.2177579375416703,0.2227033649730733,0.0,0.12884525123340496,0.23267526994629426,0.0
0.0,0.0,0.0,0.25936395210038465,0.23701071807654778,0.23314080411699561,0.0,0.0,0.3006378182775364,0.2684035992228531,0.2675248102700025,0.0,0.0,0.28641071659873274,0.2808792890470094,0.29464539116817623,0.0,0.1854569921908246,0.0,0.27341449300137455,0.2924264118940591,0.2990339230047653,0.0,0.20039226348724232,0.21395598002309946,0.0,0.1485729512601771,0.26188103480424735,0.0
0.0,0.0,0.0,0.2603183799197883,0.24143563888582156,0.23760842896062237,0.0,0.0,0.2924907807716054,0.26341635921661255,0.26109007731770284,0.0,0.0,0.2795636735614102,0.27753994996605347,0.28840075782811364,0.0,0.1788102086233715,0.0,0.27563173301776667,0.287347200833252,0.28994887241891476,0.0,0.18958427458135174,0.20917880291662067,0.0,0.17627863626742588,0.2912858603082497,0.0
0.0,0.0,0.0,0.2707300565802899,0.2809804478687525,0.30375940261545054,0.0,0.0,0.3028650158633199,0.2874185419675007,0.2962284009439145,0.0,0.0,0.27729921867628293,0.27354297945752026,0.2733216075897262,0.0,0.17738788823017562,0.0,0.27822248143512485,0.2738478478908438,0.27454832736483986,0.0,0.17773019072469795,0.20331504082253227,0.0,0.21844390370653918,0.33782465479295626,0.0
0.0,0.0,0.0,0.3010279594637527,0.48405768679307826,0.6307637398754004,0.0,0.0,0.3369585941998508,0.5485306178987657,0.7347574365031403,0.0,0.0,0.2826149174254794,0.37833402351880197,0.4693602483835528,0.0,0.1793977000313243,0.0,0.28784385172902865,0.34080891006154584,0.446669972785627,0.0,0.16286600340511423,0.19094869976925635,0.0,0.2740805878709253,0.41849239542039857,0.0
0.0,0.0,0.0,0.4376729359319992,1.032448452746021,1.4323137922958358,0.0,0.0,0.5069519678575247,1.4054142926988198,2.0080326268670396,0.0,0.0,0.3375438872246558,1.0421755338594034,1.4982325183661531,0.0,0.18491302828624243,0.0,0.3042628599552926,0.8135592043447638,1.2538824056482465,0.0,0.1475633014707004,0.17538357301859842,0.0,0.3456304908455851,0.5433843793439492,0.0
